AmaPath第一階層	AmaPath第二階層	WowPath第一階層	WowPath第二階層
# Men 詳細
Clothing, Shoes & Jewelry	Dress Shirts	メンズファッション	ワイシャツ
Clothing, Shoes & Jewelry	Casual Shirts	メンズファッション	カジュアルシャツ
Clothing, Shoes & Jewelry	Polos	メンズファッション	ポロシャツ
Clothing, Shoes & Jewelry	Hoodies	メンズファッション	パーカー
Clothing, Shoes & Jewelry	Sweatshirts	メンズファッション	スウェット・トレーナー
Clothing, Shoes & Jewelry	Vests	メンズファッション	ベスト
Clothing, Shoes & Jewelry	Ties	メンズファッション	ネクタイ
Clothing, Shoes & Jewelry	Dress Pants	メンズファッション	スラックス
Clothing, Shoes & Jewelry	Chinos	メンズファッション	チノパン
Clothing, Shoes & Jewelry	Cargo Pants	メンズファッション	カーゴパンツ
Clothing, Shoes & Jewelry	Underwear	インナー・ルームウェア	メンズインナー
Clothing, Shoes & Jewelry	Boxers	インナー・ルームウェア	ボクサーパンツ
Clothing, Shoes & Jewelry	Briefs	インナー・ルームウェア	ブリーフ
Clothing, Shoes & Jewelry	Undershirts	インナー・ルームウェア	アンダーシャツ
# ============================================================
# Software L2マッピング（新規）
# ============================================================
Software	Business & Office	パソコン・PC周辺機器	ソフトウェア
Software	Education & Reference	パソコン・PC周辺機器	ソフトウェア
Software	Lifestyle & Hobbies	パソコン・PC周辺機器	ソフトウェア
Software	Music	パソコン・PC周辺機器	ソフトウェア
Software	Photography	パソコン・PC周辺機器	ソフトウェア
Software	Programming & Web Development	パソコン・PC周辺機器	ソフトウェア
Software	Security	パソコン・PC周辺機器	ソフトウェア
Software	Utilities	パソコン・PC周辺機器	ソフトウェア
Software	Video	パソコン・PC周辺機器	ソフトウェア
Software	Operating Systems	パソコン・PC周辺機器	ソフトウェア
Software	Tax Preparation	パソコン・PC周辺機器	ソフトウェア
Software	Accounting & Finance	パソコン・PC周辺機器	ソフトウェア
Software	Antivirus & Security	パソコン・PC周辺機器	ソフトウェア
Software	Children's	パソコン・PC周辺機器	ソフトウェア
Software	Games	ゲーム機・ゲームソフト	PCゲーム
# ============================================================
# Jewelry L2マッピング追加
# ============================================================
Jewelry	Men	アクセサリー・ジュエリー	メンズジュエリー・アクセサリー
Jewelry	Girls	アクセサリー・ジュエリー	その他アクセサリー・ジュエリー
Jewelry	Boys	アクセサリー・ジュエリー	その他アクセサリー・ジュエリー
Jewelry	Wedding & Engagement	アクセサリー・ジュエリー	ブライダルジュエリー
Jewelry	Fine	アクセサリー・ジュエリー	ファインジュエリー
Jewelry	Fashion	アクセサリー・ジュエリー	ファッションジュエリー
Jewelry	Body	アクセサリー・ジュエリー	ボディピアス
Jewelry	Bracelets	アクセサリー・ジュエリー	ブレスレット
Jewelry	Earrings	アクセサリー・ジュエリー	ピアス・イヤリング
Jewelry	Necklaces	アクセサリー・ジュエリー	ネックレス
Jewelry	Rings	アクセサリー・ジュエリー	リング・指輪
Jewelry	Pendants	アクセサリー・ジュエリー	ペンダント
Jewelry	Brooches & Pins	アクセサリー・ジュエリー	ブローチ
Jewelry	Charms	アクセサリー・ジュエリー	チャーム
# ============================================================
# Office Products L2マッピング追加
# ============================================================
Office Products	Office Electronics	家電	オフィス家電・電子文具
Office Products	Office Paper Products	日用品・文房具・手芸用品	紙製品・封筒
Office Products	Desk Accessories & Workspace Organizers	日用品・文房具・手芸用品	文房具・事務用品・画材
Office Products	Writing & Correction Supplies	日用品・文房具・手芸用品	筆記具
Office Products	Labels, Indexes & Stamps	日用品・文房具・手芸用品	ファイル・バインダー
Office Products	Binders & Binding Systems	日用品・文房具・手芸用品	ファイル・バインダー
Office Products	Calendars, Planners & Organizers	日用品・文房具・手芸用品	手帳・カレンダー
Office Products	Envelopes, Mailers & Shipping Supplies	日用品・文房具・手芸用品	梱包資材
Office Products	Presentation Boards	日用品・文房具・手芸用品	文房具・事務用品・画材
Office Products	Cutting & Measuring Devices	日用品・文房具・手芸用品	はさみ・カッター
Office Products	Tape, Adhesives & Fasteners	日用品・文房具・手芸用品	テープ・接着用品
Office Products	Clipboards	日用品・文房具・手芸用品	ファイル・バインダー
Office Products	Notebooks & Writing Pads	日用品・文房具・手芸用品	ノート・メモ帳
# ============================================================
# Toys & Games L2マッピング追加
# ============================================================
Toys & Games	Vehicles	おもちゃ・趣味	ミニカー・乗り物
Toys & Games	Toy Figures & Playsets	おもちゃ・趣味	フィギュア
Toys & Games	Baby & Toddler Toys	おもちゃ・趣味	ベビー向けおもちゃ
Toys & Games	Tricycles, Scooters & Wagons	おもちゃ・趣味	乗用玩具
Toys & Games	Puppets & Puppet Theaters	おもちゃ・趣味	おもちゃ
Toys & Games	Riding Toys	おもちゃ・趣味	乗用玩具
Toys & Games	Play Vehicles	おもちゃ・趣味	ミニカー・乗り物
Toys & Games	Stacking & Nesting	おもちゃ・趣味	知育玩具・教育玩具
Toys & Games	Sorting & Matching	おもちゃ・趣味	知育玩具・教育玩具
Toys & Games	Musical Toys	おもちゃ・趣味	楽器玩具
Toys & Games	Pretend Play	おもちゃ・趣味	ごっこ遊び
Toys & Games	Outdoor Play	おもちゃ・趣味	大型遊具
Toys & Games	Pool Toys	おもちゃ・趣味	浮き輪・プール
Toys & Games	Balls	おもちゃ・趣味	ボール
Toys & Games	Kites & Wind Spinners	おもちゃ・趣味	凧・カイト
# ============================================================
# Grocery & Gourmet Food L2マッピング追加
# ============================================================
Grocery & Gourmet Food	Meat Substitutes	グルメ・食品	大豆ミート・代替肉
Grocery & Gourmet Food	Fresh Flowers & Live Indoor Plants	花・ガーデン・DIY工具	花・観葉植物・盆栽
Grocery & Gourmet Food	Food & Beverage Gifts	グルメ・食品	グルメギフト
Grocery & Gourmet Food	Gift Baskets	グルメ・食品	グルメギフト
Grocery & Gourmet Food	Coffee, Tea & Beverages	水・ソフトドリンク・お茶	コーヒー・ココア
Grocery & Gourmet Food	Candy & Chocolate	スイーツ・お菓子	チョコレート・キャンディ
Grocery & Gourmet Food	Condiments & Salad Dressings	グルメ・食品	調味料
Grocery & Gourmet Food	Cooking & Baking	グルメ・食品	製菓材料・パン材料
Grocery & Gourmet Food	Herbs, Spices & Seasonings	グルメ・食品	調味料
Grocery & Gourmet Food	Pasta & Noodles	グルメ・食品	麺類
Grocery & Gourmet Food	Rice & Grains	グルメ・食品	米・穀物
Grocery & Gourmet Food	Sauces, Gravies & Marinades	グルメ・食品	調味料
Grocery & Gourmet Food	Soups, Stocks & Broths	グルメ・食品	惣菜・食材
Grocery & Gourmet Food	Canned, Jarred & Packaged Foods	グルメ・食品	缶詰・瓶詰
Grocery & Gourmet Food	Chips, Snacks & Side Dishes	スイーツ・お菓子	スナック菓子・駄菓子
Grocery & Gourmet Food	Nuts & Seeds	グルメ・食品	ナッツ・シード
Grocery & Gourmet Food	Syrups, Sugars & Sweeteners	グルメ・食品	砂糖・甘味料
Grocery & Gourmet Food	International Foods	グルメ・食品	各国料理・エスニック
Grocery & Gourmet Food	Baby Food	キッズベビー・マタニティ	ベビーフード
Grocery & Gourmet Food	Gourmet Gifts	グルメ・食品	グルメギフト
# ============================================================
# Health & Household L2マッピング追加
# ============================================================
Health & Household	Funeral	日用品・文房具・手芸用品	冠婚葬祭
Health & Household	Stationery & Gift Wrapping Supplies	日用品・文房具・手芸用品	ラッピング用品
Health & Household	Sports Nutrition	ダイエット・健康	プロテイン・スポーツ栄養
Health & Household	Feminine Care	ビューティ・コスメ	生理用品
Health & Household	Incontinence & Ostomy	医療・介護・医薬品	介護用品
Health & Household	Skin Care	ビューティ・コスメ	スキンケア
Health & Household	Hair Care	ビューティ・コスメ	ヘアケア
Health & Household	Shaving & Hair Removal	ビューティ・コスメ	シェービング
Health & Household	First Aid	医療・介護・医薬品	救急用品
Health & Household	Allergy, Sinus & Asthma	医療・介護・医薬品	医薬品
Health & Household	Pain Relievers	医療・介護・医薬品	医薬品
Health & Household	Cold, Flu & Cough	医療・介護・医薬品	医薬品
Health & Household	Digestive Health	医療・介護・医薬品	医薬品
Health & Household	Sleep & Snoring	ダイエット・健康	睡眠サポート
Health & Household	Eye Care	コンタクトレンズ・カラコン	コンタクトケア用品
Health & Household	Foot Health	ダイエット・健康	フットケア
Health & Household	Hand & Wrist Care	医療・介護・医薬品	サポーター
Health & Household	Back & Knee Care	医療・介護・医薬品	サポーター
Health & Household	Mobility & Daily Living Aids	医療・介護・医薬品	介護用品
Health & Household	Home Tests	医療・介護・医薬品	検査キット
# ============================================================
# Home & Kitchen L2マッピング追加
# ============================================================
Home & Kitchen	Vacuums & Floor Care	家電	掃除機
Home & Kitchen	Wall Art	インテリア・寝具	アートパネル・絵画
Home & Kitchen	Candles & Holders	インテリア・寝具	キャンドル・アロマ
Home & Kitchen	Clocks	インテリア・寝具	置き時計・掛け時計
Home & Kitchen	Picture Frames	インテリア・寝具	フォトフレーム
Home & Kitchen	Mirrors	インテリア・寝具	ミラー・鏡
Home & Kitchen	Window Treatments	インテリア・寝具	カーテン・ブラインド
Home & Kitchen	Rugs, Pads & Protectors	インテリア・寝具	ラグ・カーペット
Home & Kitchen	Slipcovers	インテリア・寝具	ソファカバー
Home & Kitchen	Seasonal Décor	インテリア・寝具	季節用品・行事
Home & Kitchen	Artificial Plants & Flowers	インテリア・寝具	造花・フェイクグリーン
Home & Kitchen	Vases	インテリア・寝具	花瓶
Home & Kitchen	Decorative Accessories	インテリア・寝具	インテリア小物・置物
Home & Kitchen	Dining & Entertaining	キッチン・食器・調理	食器
Home & Kitchen	Bakeware	キッチン・食器・調理	製菓・製パン器具
Home & Kitchen	Cookware	キッチン・食器・調理	鍋・フライパン
Home & Kitchen	Cutlery & Knife Accessories	キッチン・食器・調理	包丁・ナイフ
Home & Kitchen	Food Storage	キッチン・食器・調理	保存容器
Home & Kitchen	Kitchen Utensils & Gadgets	キッチン・食器・調理	キッチン用品・キッチン雑貨
Home & Kitchen	Small Appliances	家電	キッチン家電
Home & Kitchen	Coffee, Tea & Espresso	キッチン・食器・調理	コーヒー・ティー用品
Home & Kitchen	Wine & Bar	キッチン・食器・調理	ワイン・バー用品
Home & Kitchen	Travel & To-Go Drinkware	キッチン・食器・調理	水筒・マグボトル
Home & Kitchen	Glassware & Drinkware	キッチン・食器・調理	グラス・タンブラー
Home & Kitchen	Flatware	キッチン・食器・調理	カトラリー
Home & Kitchen	Irons & Steamers	家電	アイロン
Home & Kitchen	Laundry	日用品・文房具・手芸用品	洗濯用品
Home & Kitchen	Air Quality	家電	空気清浄機
Home & Kitchen	Heating & Cooling	家電	エアコン
Home & Kitchen	Fans	家電	扇風機・サーキュレーター
# ============================================================
# Pet Supplies L2マッピング追加
# ============================================================
Pet Supplies	Food	ペット・ペットグッズ	ペットフード
Pet Supplies	Treats	ペット・ペットグッズ	ペットおやつ
Pet Supplies	Collars, Harnesses & Leashes	ペット・ペットグッズ	首輪・リード
Pet Supplies	Beds & Furniture	ペット・ペットグッズ	ペットベッド
Pet Supplies	Carriers & Travel Products	ペット・ペットグッズ	キャリーバッグ
Pet Supplies	Crates, Houses & Pens	ペット・ペットグッズ	ペットハウス・ケージ
Pet Supplies	Feeding & Watering Supplies	ペット・ペットグッズ	食器・給水器
Pet Supplies	Grooming	ペット・ペットグッズ	ペットケア用品
Pet Supplies	Health Supplies	ペット・ペットグッズ	ペット医薬品
Pet Supplies	Litter & Housebreaking	ペット・ペットグッズ	トイレ用品
Pet Supplies	Toys	ペット・ペットグッズ	ペットおもちゃ
Pet Supplies	Training & Behavior Aids	ペット・ペットグッズ	しつけ用品
Pet Supplies	Apparel & Accessories	ペット・ペットグッズ	ペットウェア
Pet Supplies	Aquarium Supplies	ペット・ペットグッズ	熱帯魚・アクアリウム用品
Pet Supplies	Terrarium Supplies	ペット・ペットグッズ	爬虫類・両生類用品
Pet Supplies	Memorials	ペット・ペットグッズ	ペットメモリアル用品
# ============================================================
# Patio, Lawn & Garden L2マッピング追加
# ============================================================
Patio, Lawn & Garden	Watering Equipment	花・ガーデン・DIY工具	散水用品
Patio, Lawn & Garden	Garden Fencing	花・ガーデン・DIY工具	エクステリア
Patio, Lawn & Garden	Greenhouses & Grow Tents	花・ガーデン・DIY工具	温室・ビニールハウス
Patio, Lawn & Garden	Garden Tool Accessories	花・ガーデン・DIY工具	ガーデニング
Patio, Lawn & Garden	Composting & Yard Waste	花・ガーデン・DIY工具	コンポスト
Patio, Lawn & Garden	Pest Control	花・ガーデン・DIY工具	害虫駆除
Patio, Lawn & Garden	Snow Removal	花・ガーデン・DIY工具	除雪用品
Patio, Lawn & Garden	Outdoor Heating	花・ガーデン・DIY工具	アウトドアヒーター
Patio, Lawn & Garden	Outdoor Lighting	花・ガーデン・DIY工具	エクステリアライト
Patio, Lawn & Garden	Umbrellas & Shade	花・ガーデン・DIY工具	パラソル・日よけ
Patio, Lawn & Garden	Outdoor Storage	花・ガーデン・DIY工具	物置・屋外収納
# ============================================================
# Musical Instruments L2マッピング追加
# ============================================================
Musical Instruments	Scores, Songbooks & Lyrics	本・コミック・雑誌	楽譜・スコア
Musical Instruments	Karaoke Equipment	楽器・音響機器	カラオケ機器
Musical Instruments	Orchestra Accessories	楽器・音響機器	その他楽器・音響機器
# ============================================================
# Watches L2マッピング追加
# ============================================================
Watches	Accessories	腕時計	腕時計用アクセサリー
Watches	Bands	腕時計	腕時計用ベルト・バンド
Watches	Watch Boxes	腕時計	時計収納ケース
Watches	Watch Winders	腕時計	ワインディングマシーン
Watches	Luxury	腕時計	ラグジュアリーウォッチ
Watches	Sport	腕時計	スポーツウォッチ
Watches	Dress	腕時計	ドレスウォッチ
Watches	Casual	腕時計	カジュアルウォッチ
Watches	Smartwatches	スマホ・タブレット・モバイル通信	スマートウォッチ
Watches	Pocket Watches	腕時計	懐中時計
Watches	Watch Parts & Repair	腕時計	時計修理用品
Watches	Watch Tools	腕時計	時計工具
# ============================================================
# Tools & Home Improvement L2マッピング追加
# ============================================================
Tools & Home Improvement	Hand Tools	花・ガーデン・DIY工具	DIY工具
Tools & Home Improvement	Power Tool Parts & Accessories	花・ガーデン・DIY工具	電動工具アクセサリー
Tools & Home Improvement	Air Tools & Compressors	花・ガーデン・DIY工具	エアコンプレッサー
Tools & Home Improvement	Measuring & Layout Tools	花・ガーデン・DIY工具	計測工具
Tools & Home Improvement	Tool Organizers	花・ガーデン・DIY工具	工具収納
Tools & Home Improvement	Rough Plumbing	花・ガーデン・DIY工具	配管・水回り
Tools & Home Improvement	Door Hardware & Locks	花・ガーデン・DIY工具	建具・ドア金具
Tools & Home Improvement	Cabinet Hardware	花・ガーデン・DIY工具	家具金物
Tools & Home Improvement	Nails, Screws & Fasteners	花・ガーデン・DIY工具	ネジ・釘・金具
Tools & Home Improvement	Adhesives & Sealers	花・ガーデン・DIY工具	接着剤・シーラント
Tools & Home Improvement	Tape	花・ガーデン・DIY工具	テープ
Tools & Home Improvement	Personal Protective Equipment	花・ガーデン・DIY工具	安全保護具
Tools & Home Improvement	Generators & Portable Power	花・ガーデン・DIY工具	発電機
# ============================================================
# Industrial & Scientific L2マッピング追加
# ============================================================
Industrial & Scientific	Abrasives	花・ガーデン・DIY工具	研磨材
Industrial & Scientific	Additive Manufacturing Products	花・ガーデン・DIY工具	3Dプリンター用品
Industrial & Scientific	Fasteners	花・ガーデン・DIY工具	ボルト・ナット
Industrial & Scientific	Packaging & Shipping Supplies	日用品・文房具・手芸用品	梱包資材
Industrial & Scientific	Science Education	おもちゃ・趣味	科学・実験
# ============================================================
# Arts, Crafts & Sewing L2マッピング追加
# ============================================================
Arts, Crafts & Sewing	Organization, Storage & Transport	日用品・文房具・手芸用品	収納ケース
Arts, Crafts & Sewing	Gift Wrapping Supplies	日用品・文房具・手芸用品	ラッピング用品
Arts, Crafts & Sewing	Floral Arranging	花・ガーデン・DIY工具	フラワーアレンジメント
Arts, Crafts & Sewing	Leather & Leather Crafting	日用品・文房具・手芸用品	レザークラフト
Arts, Crafts & Sewing	Candle Making	日用品・文房具・手芸用品	キャンドル作り
Arts, Crafts & Sewing	Soap Making	日用品・文房具・手芸用品	石鹸作り
Arts, Crafts & Sewing	Yarn & Fiber	日用品・文房具・手芸用品	毛糸・編み物
Arts, Crafts & Sewing	Sewing Notions & Supplies	日用品・文房具・手芸用品	ソーイング用品
Arts, Crafts & Sewing	Sewing Machines & Accessories	家電	ミシン
